id,title,avg_rate,geek_rate,num_votes
5404,Amun-Re,7.37,7.155,7106
65781,London,7.42,7.154,5417
100901,Flash Point: Fire Rescue,7.29,7.153,13123
118,Modern Art,7.30,7.152,11303
17226,Descent: Journeys in the Dark,7.35,7.151,10179
66362,Glen More,7.36,7.151,6934
139976,Cthulhu Wars,8.06,7.147,1963
98778,Hanabi,7.23,7.144,22444
156129,Deception: Murder in Hong Kong,7.59,7.140,3470
176396,Quadropolis,7.50,7.139,4393
13,Catan,7.28,7.136,65269
116998,Thunderstone Advance: Towers of Ruin,7.52,7.136,3987
97786,Small World Underground,7.38,7.134,6788
150658,Pandemic: The Cure,7.42,7.132,5284
58421,Egizia,7.46,7.128,4271
42052,Vinhos,7.55,7.128,3517
27162,Kingsburg,7.24,7.126,14834
169255,A Game of Thrones: The Card Game (Second Edition),7.96,7.126,2022
11170,Heroscape Master Set: Rise of the Valkyrie,7.41,7.123,6842
3685,Hammer of the Scots,7.57,7.121,3356
36553,Time's Up! Title Recall!,7.79,7.118,2086
172,For Sale,7.22,7.115,14897
63888,Innovation,7.26,7.111,10579
137408,Amerigo,7.50,7.108,3678
192291,Sushi Go Party!,7.78,7.107,2342
62222,Commands & Colors: Napoleonics,7.96,7.107,1735
154809,Nippon,7.84,7.104,1929
475,Taj Mahal,7.34,7.103,6158
113924,Zombicide,7.34,7.102,10468
105551,Archipelago,7.42,7.102,4847
144592,Bruxelles 1893,7.64,7.099,2674
90419,Airlines Europe,7.37,7.095,5225
125618,Libertalia,7.28,7.095,8458
166384,Spyfall,7.25,7.091,9362
138161,Firefly: The Game,7.41,7.091,6471
146791,Shadows of Brimstone: City of the Ancients,8.06,7.090,1933
6472,A Game of Thrones (first edition),7.30,7.089,9239
158899,Colt Express,7.25,7.088,10725
127398,Legends of Andor,7.33,7.088,7168
128671,Spartacus: A Game of Blood & Treachery,7.48,7.086,4458
62227,"Labyrinth: The War on Terror, 2001 – ?",7.58,7.085,3050
9625,Struggle of Empires,7.52,7.084,3375
3307,Wallenstein (first edition),7.52,7.084,3272
39351,Automobile,7.38,7.084,4662
162082,Deus,7.41,7.084,4397
27173,Vikings,7.30,7.083,6690
34219,Biblios,7.25,7.082,9303
172287,Champions of Midgard,7.65,7.080,2642
163968,Elysium,7.39,7.078,4655
34119,Tales of the Arabian Nights,7.29,7.078,8264
133848,Euphoria: Build a Better Dystopia,7.36,7.068,5433
1513,The Republic of Rome,7.55,7.064,3303
478,Citadels,7.15,7.063,36615
39938,Carson City,7.31,7.063,5607
97842,Last Will,7.27,7.062,6506
163967,Tiny Epic Galaxies,7.38,7.061,5134
119506,Freedom: The Underground Railroad,7.65,7.060,2331
171668,The Grizzled,7.37,7.060,4920
141572,Paperback,7.40,7.057,4095
50,Lost Cities,7.14,7.057,25906
18,RoboRally,7.16,7.055,19016
9674,Ingenious,7.18,7.054,12665
140603,Francis Drake,7.51,7.054,3051
150,PitchCar,7.25,7.054,7432
128271,Ginkgopolis,7.43,7.053,3604
15363,Nexus Ops,7.26,7.053,7478
155703,Evolution,7.30,7.053,6399
42776,Gears of War: The Board Game,7.51,7.052,3673
43570,Friday,7.25,7.052,8274
586,Up Front,7.84,7.049,1845
50750,Belfort,7.34,7.048,4843
166669,San Juan (second edition),7.69,7.047,2177
194655,Santorini,8.30,7.046,1256
26997,1989: Dawn of Freedom,7.92,7.046,1578
15062,Shadows over Camelot,7.16,7.046,19678
181521,Warhammer Quest: The Adventure Card Game,7.66,7.046,2686
121288,Dixit: Journey,7.50,7.046,3299
22827,StarCraft: The Board Game,7.34,7.042,5965
160477,Onitama,7.66,7.042,2494
24800,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,7.57,7.041,2789
18098,Napoleon's Triumph,7.97,7.041,1492
95527,Madeira,7.66,7.040,2234
65532,Defenders of the Realm,7.39,7.038,4441
113997,Tajemnicze Domostwo,7.41,7.038,3778
159508,AquaSphere,7.39,7.033,3909
167400,Ashes: Rise of the Phoenixborn,7.69,7.031,2624
155987,Abyss,7.33,7.031,4970
133473,Sushi Go!,7.15,7.030,15927
121408,Trains,7.27,7.026,5670
58281,Summoner Wars,7.34,7.026,4900
2346,DVONN,7.43,7.026,3534
148575,Marvel Dice Masters: Avengers vs. X-Men,7.36,7.025,4609
182631,Star Realms: Colony Wars,7.98,7.025,1487
131357,Coup,7.13,7.024,19338
21790,Thurn and Taxis,7.13,7.022,14920
119432,Snowdonia,7.46,7.021,3079
36235,The Duke,7.59,7.021,2540
193037,Dead of Winter: The Long Night,8.19,7.020,1424
28181,Combat Commander: Pacific,8.11,7.020,1233
160499,King of New York,7.22,7.017,7916
172081,Burgle Bros.,7.65,7.014,2208
79127,Star Trek: Fleet Captains,7.59,7.012,2665
144189,Fire in the Lake,8.12,7.011,1293
1353,Time's Up!,7.36,7.010,3836
161614,Stockpile,7.66,7.007,2217
155624,Specter Ops,7.45,7.006,3162
31730,Chicago Express,7.23,7.004,5788
70512,Luna,7.42,7.003,3138
103886,Star Wars: The Card Game,7.39,7.002,4147
183562,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,8.20,6.999,1184
30869,Thebes,7.19,6.998,7477
31999,TZAAR,7.66,6.997,1993
9823,Advanced Squad Leader: Starter Kit #1,7.77,6.997,1901
137988,Zombicide Season 2: Prison Outbreak,7.59,6.997,2687
20963,Fury of Dracula (second edition),7.21,6.996,8115
163166,One Night Ultimate Werewolf Daybreak,7.61,6.992,2304
128780,Pax Porfiriana,7.72,6.989,1824
11,Bohnanza,7.07,6.988,27657
20437,Lords of Vegas,7.32,6.987,4168
